
Uncommitted,Libertarian,4,30.769%
,Party Total:,13,
,,,
Uncommitted,Constitution,4,100.000%
,Total Votes:,"5,554",
,,,

U.S. President,,,17 of 17 Precincts Reported
Hillary Clinton,Democratic,874,51.624%
Henry Hewes,Democratic,2,0.118%
"Roque ""Rocky"" De La Fuente",Democratic,0,0.000%
Bernie Sanders,Democratic,796,47.017%
Keith Judd,Democratic,2,0.118%
Willie L. Wilson,Democratic,2,0.118%
Martin J. O'Malley,Democratic,1,0.059%
John Wolfe,Democratic,0,0.000%
Jon Adams,Democratic,1,0.059%
Uncommitted,Democratic,15,0.886%
,Party Total:,"1,693",
,,,
Chris Christie,Republican,10,0.142%
Jeb Bush,Republican,20,0.284%
Ben Carson,Republican,53,0.754%
Donald J. Trump,Republican,"3,030",43.095%
Marco Rubio,Republican,255,3.627%
Ted Cruz,Republican,"3,189",45.356%
Rick Santorum,Republican,4,0.057%
Carly Fiorina,Republican,3,0.043%
John R. Kasich,Republican,400,5.689%
Rand Paul,Republican,16,0.228%
Jim Lynch,Republican,0,0.000%
Mike Huckabee,Republican,28,0.398%
Uncommitted,Republican,23,0.327%
,Party Total:,"7,031",
,,,
Austin Petersen,Libertarian,1,25.000%
Steven Elliott (Steve) Kerbel,Libertarian,0,0.000%
Rhett Rosenquest Smith,Libertarian,2,50.000%
Cecil Ince,Libertarian,0,0.000%
Marc Allan Feldman,Libertarian,0,0.000%
Uncommitted,Libertarian,1,25.000%
,Party Total:,4,
,,,
Uncommitted,Constitution,1,100.000%
,Total Votes:,"8,729",
,,,

U.S. President,,,9 of 9 Precincts Reported
Hillary Clinton,Democratic,205,48.122%
Henry Hewes,Democratic,0,0.000%
"Roque ""Rocky"" De La Fuente",Democratic,0,0.000%
Bernie Sanders,Democratic,214,50.235%
Keith Judd,Democratic,0,0.000%
Willie L. Wilson,Democratic,0,0.000%
Martin J. O'Malley,Democratic,2,0.469%
John Wolfe,Democratic,0,0.000%
Jon Adams,Democratic,0,0.000%
Uncommitted,Democratic,5,1.174%
,Party Total:,426,
,,,
Chris Christie,Republican,7,0.242%
Jeb Bush,Republican,13,0.449%
Ben Carson,Republican,30,1.037%
Donald J. Trump,Republican,986,34.082%
Marco Rubio,Republican,103,3.560%
Ted Cruz,Republican,"1,560",53.923%
Rick Santorum,Republican,0,0.000%
Carly Fiorina,Republican,1,0.035%
John R. Kasich,Republican,170,5.876%
Rand Paul,Republican,3,0.104%
Jim Lynch,Republican,0,0.000%
Mike Huckabee,Republican,13,0.449%
Uncommitted,Republican,7,0.242%
,Party Total:,"2,893",
,,,
Austin Petersen,Libertarian,0,0.000%
Steven Elliott (Steve) Kerbel,Libertarian,0,0.000%
Rhett Rosenquest Smith,Libertarian,0,0.000%
Cecil Ince,Libertarian,0,0.000%
Marc Allan Feldman,Libertarian,0,0.000%
Uncommitted,Libertarian,1,100.000%
,Party Total:,1,
,,,
Uncommitted,Constitution,4,100.000%
,Total Votes:,"3,324",
,,,

U.S. President,,,16 of 16 Precincts Reported
Hillary Clinton,Democratic,518,43.529%
Henry Hewes,Democratic,3,0.252%
"Roque ""Rocky"" De La Fuente",Democratic,3,0.252%
Bernie Sanders,Democratic,632,53.109%
Keith Judd,Democratic,1,0.084%
Willie L. Wilson,Democratic,5,0.420%
Martin J. O'Malley,Democratic,1,0.084%
John Wolfe,Democratic,3,0.252%
Jon Adams,Democratic,2,0.168%
Uncommitted,Democratic,22,1.849%
,Party Total:,"1,190",
,,,
Chris Christie,Republican,10,0.352%
Jeb Bush,Republican,16,0.564%
Ben Carson,Republican,40,1.410%
Donald J. Trump,Republican,"1,306",46.035%
Marco Rubio,Republican,143,5.041%
Ted Cruz,Republican,"1,080",38.068%
Rick Santorum,Republican,2,0.070%
Carly Fiorina,Republican,1,0.035%
John R. Kasich,Republican,199,7.014%
Rand Paul,Republican,6,0.211%
Jim Lynch,Republican,0,0.000%
Mike Huckabee,Republican,16,0.564%
Uncommitted,Republican,18,0.634%
,Party Total:,"2,837",
,,,
Austin Petersen,Libertarian,2,66.667%
Steven Elliott (Steve) Kerbel,Libertarian,0,0.000%
Rhett Rosenquest Smith,Libertarian,0,0.000%
Cecil Ince,Libertarian,1,33.333%
Marc Allan Feldman,Libertarian,0,0.000%
Uncommitted,Libertarian,0,0.000%
,Party Total:,3,
,,,
Uncommitted,Constitution,1,100.000%
,Total Votes:,"4,031",
,,,

U.S. President,,,8 of 8 Precincts Reported
Hillary Clinton,Democratic,669,53.349%
Henry Hewes,Democratic,1,0.080%
"Roque ""Rocky"" De La Fuente",Democratic,0,0.000%
Bernie Sanders,Democratic,567,45.215%
Keith Judd,Democratic,0,0.000%
Willie L. Wilson,Democratic,0,0.000%
Martin J. O'Malley,Democratic,1,0.080%
John Wolfe,Democratic,1,0.080%
Jon Adams,Democratic,0,0.000%
Uncommitted,Democratic,15,1.196%
,Party Total:,"1,254",
,,,
Chris Christie,Republican,4,0.097%
Jeb Bush,Republican,14,0.340%
Ben Carson,Republican,45,1.094%
Donald J. Trump,Republican,"2,278",55.399%
Marco Rubio,Republican,138,3.356%
Ted Cruz,Republican,"1,314",31.955%
Rick Santorum,Republican,4,0.097%
Carly Fiorina,Republican,3,0.073%
John R. Kasich,Republican,287,6.980%
Rand Paul,Republican,8,0.195%
Jim Lynch,Republican,0,0.000%
Mike Huckabee,Republican,7,0.170%
Uncommitted,Republican,10,0.243%
,Party Total:,"4,112",
,,,
Austin Petersen,Libertarian,0,0.000%
Steven Elliott (Steve) Kerbel,Libertarian,1,25.000%
Rhett Rosenquest Smith,Libertarian,0,0.000%
Cecil Ince,Libertarian,0,0.000%
Marc Allan Feldman,Libertarian,2,50.000%
Uncommitted,Libertarian,1,25.000%
,Party Total:,4,
,,,
Uncommitted,Constitution,0,0.000%
,Total Votes:,"5,370",
,,,

U.S. President,,,9 of 9 Precincts Reported
Hillary Clinton,Democratic,242,53.778%
Henry Hewes,Democratic,2,0.444%
"Roque ""Rocky"" De La Fuente",Democratic,0,0.000%
Bernie Sanders,Democratic,203,45.111%
Keith Judd,Democratic,0,0.000%
Willie L. Wilson,Democratic,0,0.000%
Martin J. O'Malley,Democratic,0,0.000%
John Wolfe,Democratic,2,0.444%
Jon Adams,Democratic,0,0.000%
Uncommitted,Democratic,1,0.222%
,Party Total:,450,
,,,
Chris Christie,Republican,8,0.299%
Jeb Bush,Republican,10,0.374%
Ben Carson,Republican,18,0.674%
Donald J. Trump,Republican,"1,272",47.605%
Marco Rubio,Republican,98,3.668%
Ted Cruz,Republican,"1,111",41.579%
Rick Santorum,Republican,0,0.000%
Carly Fiorina,Republican,1,0.037%
John R. Kasich,Republican,141,5.277%
Rand Paul,Republican,3,0.112%
Jim Lynch,Republican,1,0.037%
Mike Huckabee,Republican,3,0.112%
Uncommitted,Republican,6,0.225%
,Party Total:,"2,672",
,,,
Austin Petersen,Libertarian,1,50.000%
Steven Elliott (Steve) Kerbel,Libertarian,0,0.000%
Rhett Rosenquest Smith,Libertarian,0,0.000%
Cecil Ince,Libertarian,0,0.000%
Marc Allan Feldman,Libertarian,1,50.000%
Uncommitted,Libertarian,0,0.000%
,Party Total:,2,
,,,
Uncommitted,Constitution,0,0.000%
,Total Votes:,"3,124",
,,,

U.S. President,,,61 of 61 Precincts Reported
Hillary Clinton,Democratic,"9,628",38.699%
Henry Hewes,Democratic,13,0.052%
"Roque ""Rocky"" De La Fuente",Democratic,7,0.028%
Bernie Sanders,Democratic,"15,076",60.597%
Keith Judd,Democratic,7,0.028%
Willie L. Wilson,Democratic,6,0.024%
Martin J. O'Malley,Democratic,18,0.072%
John Wolfe,Democratic,7,0.028%
Jon Adams,Democratic,5,0.020%
Uncommitted,Democratic,112,0.450%
,Party Total:,"24,879",
,,,
Chris Christie,Republican,45,0.176%
Jeb Bush,Republican,91,0.356%
Ben Carson,Republican,229,0.896%
Donald J. Trump,Republican,"7,898",30.889%
Marco Rubio,Republican,"2,106",8.237%
Ted Cruz,Republican,"11,219",43.877%
Rick Santorum,Republican,27,0.106%
Carly Fiorina,Republican,27,0.106%
John R. Kasich,Republican,"3,728",14.580%
Rand Paul,Republican,62,0.242%
Jim Lynch,Republican,8,0.031%
Mike Huckabee,Republican,26,0.102%
Uncommitted,Republican,103,0.403%
,Party Total:,"25,569",
,,,
Austin Petersen,Libertarian,43,26.708%
Steven Elliott (Steve) Kerbel,Libertarian,17,10.559%
Rhett Rosenquest Smith,Libertarian,10,6.211%
Cecil Ince,Libertarian,7,4.348%
Marc Allan Feldman,Libertarian,10,6.211%
Uncommitted,Libertarian,74,45.963%
,Party Total:,161,
,,,
Uncommitted,Constitution,15,100.000%
,Total Votes:,"50,624",
,,,

U.S. President,,,27 of 27 Precincts Reported
Hillary Clinton,Democratic,"3,443",44.535%
Henry Hewes,Democratic,8,0.103%
"Roque ""Rocky"" De La Fuente",Democratic,4,0.052%
Bernie Sanders,Democratic,"4,148",53.654%
Keith Judd,Democratic,7,0.091%
Willie L. Wilson,Democratic,7,0.091%
Martin J. O'Malley,Democratic,6,0.078%
John Wolfe,Democratic,7,0.091%
Jon Adams,Democratic,8,0.103%
Uncommitted,Democratic,93,1.203%
,Party Total:,"7,731",
,,,
Chris Christie,Republican,27,0.240%
Jeb Bush,Republican,46,0.408%
Ben Carson,Republican,150,1.332%
Donald J. Trump,Republican,"4,691",41.650%
Marco Rubio,Republican,847,7.520%
Ted Cruz,Republican,"3,878",34.431%
Rick Santorum,Republican,11,0.098%
Carly Fiorina,Republican,11,0.098%
John R. Kasich,Republican,"1,478",13.123%
Rand Paul,Republican,27,0.240%
Jim Lynch,Republican,2,0.018%
Mike Huckabee,Republican,40,0.355%
Uncommitted,Republican,55,0.488%
,Party Total:,"11,263",
,,,
Austin Petersen,Libertarian,8,25.806%
Steven Elliott (Steve) Kerbel,Libertarian,4,12.903%
Rhett Rosenquest Smith,Libertarian,1,3.226%
Cecil Ince,Libertarian,4,12.903%
Marc Allan Feldman,Libertarian,1,3.226%
Uncommitted,Libertarian,13,41.935%
,Party Total:,31,
,,,
Uncommitted,Constitution,6,100.000%
,Total Votes:,"19,031",
,,,

U.S. President,,,27 of 27 Precincts Reported
Hillary Clinton,Democratic,889,52.728%
Henry Hewes,Democratic,8,0.474%
"Roque ""Rocky"" De La Fuente",Democratic,6,0.356%
Bernie Sanders,Democratic,766,45.433%
Keith Judd,Democratic,3,0.178%
Willie L. Wilson,Democratic,3,0.178%
Martin J. O'Malley,Democratic,2,0.119%
John Wolfe,Democratic,2,0.119%
Jon Adams,Democratic,2,0.119%
Uncommitted,Democratic,5,0.297%
,Party Total:,"1,686",
,,,
Chris Christie,Republican,11,0.152%
Jeb Bush,Republican,18,0.249%
Ben Carson,Republican,76,1.050%
Donald J. Trump,Republican,"3,652",50.470%
Marco Rubio,Republican,324,4.478%
Ted Cruz,Republican,"2,676",36.982%
Rick Santorum,Republican,3,0.041%
Carly Fiorina,Republican,1,0.014%
John R. Kasich,Republican,427,5.901%
Rand Paul,Republican,15,0.207%
Jim Lynch,Republican,0,0.000%
Mike Huckabee,Republican,21,0.290%
Uncommitted,Republican,12,0.166%
,Party Total:,"7,236",
,,,
Austin Petersen,Libertarian,2,28.571%
Steven Elliott (Steve) Kerbel,Libertarian,1,14.286%
Rhett Rosenquest Smith,Libertarian,0,0.000%
Cecil Ince,Libertarian,2,28.571%
Marc Allan Feldman,Libertarian,0,0.000%
Uncommitted,Libertarian,2,28.571%
,Party Total:,7,
,,,
Uncommitted,Constitution,4,100.000%
,Total Votes:,"8,933",
,,,

U.S. President,,,11 of 11 Precincts Reported
Hillary Clinton,Democratic,244,43.186%
Henry Hewes,Democratic,1,0.177%
"Roque ""Rocky"" De La Fuente",Democratic,0,0.000%
Bernie Sanders,Democratic,314,55.575%
Keith Judd,Democratic,0,0.000%
Willie L. Wilson,Democratic,0,0.000%
Martin J. O'Malley,Democratic,0,0.000%
John Wolfe,Democratic,0,0.000%
Jon Adams,Democratic,0,0.000%
Uncommitted,Democratic,6,1.062%
,Party Total:,565,
,,,
Chris Christie,Republican,2,0.112%
Jeb Bush,Republican,12,0.672%
Ben Carson,Republican,17,0.952%
Donald J. Trump,Republican,780,43.673%
Marco Rubio,Republican,96,5.375%
