BreweryName,Address,City ,State,Zipcode,Type,Website
Sleepy Owl Brewery,151 E Main Street,Kingsport,TN,37660,Planning,http://www.schulzbraubrewing.com
Smith & Lentz Brewing,903 Main Street,Nashville,TN,37206,Planning,http://www.smithandlentz.com
Smoky Mountain Brewery (#1),743 Watkins Road,Maryville,TN,37801,Brewpub,http://www.smoky-mtn-brewery.com
Smoky Mountain Brewery (#2) - Gatlinburg,1004 Parkway Ste 501 ,Gatlinburg,TN,37738,Brewpub,http://www.smoky-mtn-brewery.com
Smoky Mountain Brewery (#3) - Pigeon Forge,2530 Parkway Ste 15 ,Pigeon Forge,TN,37863,Brewpub,http://www.smoky-mtn-brewery.com
Smoky Mountain Brewery (#4) - Turkey Creek,11308 Parkside Dr ,Knoxville,TN,37934,Brewpub,http://www.smoky-mtn-brewery.com
Southern Grist Brewing Company,1201 Porter Rd,Nashville,TN,37206,Planning,http://www.southerngristbrewing.com
Studio Brew,5074 Lake Forest Dr ,Kingsport,TN,37663,Micro,http://www.studiobrew.net
"Tailgate Beer, LLC",7300 Charlotte Pike ,Nashville,TN,37209,Brewpub,http://www.tailgatebeer.com
Tennessee Brew Works,809 Ewing Ave ,Nashville,TN,37203,Micro,http://www.tnbrew.com
"Terminal Brewhouse, The",6 W 14th St ,Chattanooga,TN,37408,Brewpub,http://www.terminalbrewhouse.com
Turtle Anarchy Brewing Co,5901 California Ave Ste 105 ,Nashville,TN,37209,Micro,http://www.turtleanarchy.com
Wiseacre Brewing Co,2783 Broad Ave ,Memphis,TN,38112,Micro,http://www.wiseacrebrew.com
Yazoo Brewing Co,910 Division St ,Nashville,TN,37203,Regional,http://www.yazoobrew.com
Yee-Haw Brewing,126 Buffalo Street,Johnson City,TN,37604,Micro,http://www.yazoobrew.com
